USER_ID,ITEM_ID,EVENT_ID
kodagiri,HOL-2002-92-CMP-HOL,6
mkwak,HOL-2004-02-CHG-HOL,1
mlemmo,HOL-2026-01-NET-HOL,3
tmcgee,HOL-2052-01-ISM-HOL,8
jtindel,HOL-2003-01-NET-HOL,8
bechen,HOL-2010-01-SDC-HOL,0
akorshunova,HOL-2031-01-CNA-HOL,8
wentingz,HOL-2032-01-CNA-HOL,1
ysung,HOL-2003-01-NET-HOL,5
jmusselwhite,HOL-2013-01-SDC-HOL,10
soka,HOL-2012-01-SDC-HOL,4
soka,HOL-2004-02-CHG-HOL,1
sueze,HOL-2032-01-CNA-HOL,6
tlanier,HOL-2001-04-CMP-HOL,5
rhardt,HOL-2013-01-SDC-HOL,5
dneo,HOL-2011-01-SDC-HOL,4
tlanier,HOL-2001-04-CMP-HOL,2
ddeutschman,HOL-2022-01-NET-HOL,9
rsindhuri,HOL-2061-01-ISM-HOL,8
tlanier,HOL-2001-91-ISM-HOL,1
shibino,HOL-2011-01-SDC-HOL,3
ysung,HOL-2026-02-NET-HOL,3
nareshku,HOL-2026-01-NET-HOL,1
fferencik,HOL-2013-01-SDC-HOL,2
dzhechkov,HOL-2022-01-NET-HOL,6
snamikawa,HOL-2037-01-NET-HOL,10
nesmail,HOL-2046-01-HCI-HOL,7
ykameda,HOL-2051-02-VWS-HOL,6
hmikami,HOL-2021-01-CMP-HOL,6
ysung,HOL-2026-01-NET-HOL,9
kasumic,HOL-2003-01-NET-HOL,9
wloh,HOL-2011-01-SDC-HOL,8
hkomaki,HOL-2010-01-SDC-HOL,2
myamamichi,HOL-2008-01-HCI-HOL,2
nsonawane,HOL-2051-04-VWS-HOL,8
nguyenan,HOL-2026-01-NET-HOL,6
aelfaham,HOL-2008-04-ODY-HOL,3
vsalazar,HOL-2010-01-SDC-HOL,3
jmalaty,HOL-2086-01-EMT-HOL,5
wakl,HOL-2008-04-ODY-HOL,3
chandrabhus,HOL-2051-09-UEM-HOL,8
aparise,HOL-2046-01-HCI-HOL,4
mkurdi,HOL-2008-04-ODY-HOL,8
bmok,HOL-2026-02-NET-HOL,9
helnawasany,HOL-2011-01-SDC-HOL,9
dkhairnar,HOL-2026-02-NET-HOL,9
jnairoukh,HOL-2008-04-ODY-HOL,0
ahald,HOL-2008-04-ODY-HOL,4
hjinsung,HOL-2002-02-CMP-HOL,3
bmok,HOL-2026-02-NET-HOL,10
jcrockett,HOL-2046-01-HCI-HOL,1
moralesk,HOL-2011-91-SDC-HOL,7
aschessner,HOL-2021-01-CMP-HOL,0
jackl,HOL-2002-02-CMP-HOL,5
rurgiles,HOL-2022-01-NET-HOL,0
psahil,HOL-2051-11-UEM-HOL,10
fzamboni,HOL-2026-01-NET-HOL,0
jmirongonzale,HOL-2011-01-SDC-HOL,9
mimurphy,HOL-2051-13-UEM-HOL,9
jmachado,HOL-2053-01-ISM-HOL,6
ggoyal,HOL-2037-01-NET-HOL,3
rcruzmairena,HOL-2051-03-VWS-HOL,3
drichard,HOL-2004-01-SDC-HOL,0
astubenazy,HOL-2008-01-HCI-HOL,10
nguyenan,HOL-2081-01-HBD-HOL,3
kcrandall,HOL-2046-01-HCI-HOL,2
ayoshitaka,HOL-2001-01-CMP-HOL,8
kcrandall,HOL-2011-01-SDC-HOL,10
kasumic,HOL-2003-01-NET-HOL,9
wentingz,HOL-2032-01-CNA-HOL,4
nmatsuyama,HOL-2005-02-HCI-HOL,7
khongseok,HOL-2026-01-NET-HOL,1
dsouzastephe,HOL-2037-01-NET-HOL,7
dsouzastephe,HOL-2037-01-NET-HOL,3
jdeng,HOL-2051-02-VWS-HOL,5
tnishoji,HOL-2046-01-HCI-HOL,5
wentingz,HOL-2032-91-CNA-HOL,8
frodo,HOL-2087-01-HBD,0
kshilpashree,HOL-2021-01-CMP-HOL,10
hjaehong,HOL-2037-01-NET-HOL,7
amachado,HOL-2033-01-CNA-HOL,7
hebbars,HOL-2010-01-SDC-HOL,7
kodagiri,HOL-2005-02-HCI-HOL,7
murayamat,HOL-2051-01-VWS-HOL,9
rsantaana,HOL-2031-01-CNA-HOL,7
tyoichi,HOL-2004-01-SDC-HOL,1
yukim,HOL-2008-01-HCI-HOL,10
hjinsung,HOL-2003-01-NET-HOL,2
tlightfoot,HOL-2083-01-HBD-HOL,4
frodo,HOL-2087-91-HBD,8
inestorenko,HOL-2051-01-VWS-HOL,0
zboujaddaine,HOL-2051-09-UEM-HOL,7
preed,HOL-2051-02-VWS-HOL,0
ggoyal,HOL-2037-01-NET-HOL,7
sspencer,HOL-2051-09-UEM-HOL,4
mwisniak,HOL-2026-01-NET-HOL,9
bhara,HOL-2026-01-NET-HOL,6
jlepage,HOL-2008-04-ODY-HOL,8
bholden,HOL-2051-09-UEM-HOL,8
ynakaoku,HOL-2037-01-NET-HOL,0
lynchbrian,HOL-2082-02-HBD-HOL,4
jmirongonzale,HOL-2008-01-HCI-HOL,1
aparise,HOL-2061-01-ISM-HOL,1
rdettbarn,HOL-2006-03-CMP-HOL,10
vlodha,HOL-2026-01-NET-HOL,0
maddend,HOL-2001-91-ISM-HOL,3
phopper,HOL-2013-01-SDC-HOL,3
drowland,HOL-2051-10-UEM-HOL,0
mkenig,HOL-2004-01-SDC-HOL,5
mconcilio,HOL-2081-01-HBD-HOL,4
dcarey,HOL-2051-09-UEM-HOL,2
tnishoji,HOL-2081-01-HBD-HOL,1
maddend,HOL-2003-01-NET-HOL,3
iobikhod,HOL-2087-01-HBD-HOL,5
tharty,HOL-2087-01-HBD-HOL,10
ivivas,HOL-2003-01-NET-HOL,3
mday,HOL-2010-01-SDC-HOL,7
vlilli,HOL-2046-01-HCI-HOL,2
gngoc,HOL-2051-11-UEM-HOL,5
usho,HOL-2051-01-VWS-HOL,3
hmikami,HOL-2006-02-CMP-HOL,0
mwahidalam,HOL-2026-01-NET-HOL,8
kmalur,HOL-2030-01-CNA-HOL,9
tashwaq,HOL-2004-01-SDC-HOL,6
nrouhotas,HOL-2031-01-CNA-HOL,6
taehwal,HOL-2083-01-HBD-HOL,6
kodagiri,HOL-2010-91-SDC-HOL,1
bding,HOL-2051-01-VWS-HOL,3
nrouhotas,HOL-2037-01-NET-HOL,7
lnestor,HOL-2051-04-VWS-HOL,2
tkawasaki,HOL-2010-91-SDC-HOL,5
prodjan25,HOL-2011-01-SDC,1
nareshku,HOL-2082-01-HBD-HOL,5
tsone,HOL-2026-01-NET-HOL,4
hshimizu,HOL-2051-11-UEM-HOL,5
jnancy,HOL-2051-91-VWS-HOL,9
nmatsuyama,HOL-2011-01-SDC-HOL,0
tshetty,HOL-2051-13-UEM-HOL,8
cbehm,HOL-2011-01-SDC-HOL,9
manishv,HOL-2001-91-ISM-HOL,9
aelgendi,HOL-2011-01-SDC-HOL,10
kueyama,HOL-2051-09-UEM-HOL,7
usho,HOL-2001-91-ISM-HOL,1
akrus,HOL-2037-01-NET-HOL,1
jnancy,HOL-2051-04-VWS-HOL,9
ppramuean,HOL-2044-01-ISM-HOL,0
kasumic,HOL-2003-01-NET-HOL,5
yukim,HOL-2011-01-SDC-HOL,7
frodo,HOL-2051-09-UEM,5
robertt,HOL-2051-09-UEM-HOL,9
murayamat,HOL-2051-14-ODY-HOL,4
iyamada,HOL-2002-02-CMP-HOL,3
hmikami,HOL-2008-01-HCI-HOL,9
tashwaq,HOL-2004-01-SDC-HOL,0
nakamuras,HOL-2051-91-VWS-HOL,8
hyun,HOL-2011-02-SDC-HOL,7
htoyoda,HOL-2026-01-NET-HOL,6
wentingz,HOL-2032-01-CNA-HOL,4
rkhoo,HOL-2081-01-HBD-HOL,8
murayamat,HOL-2051-91-VWS-HOL,1
singhy,HOL-2026-02-NET-HOL,8
upadhyayra,HOL-2002-92-CMP-HOL,10
ralbrecht,HOL-2011-01-SDC-HOL,8
rkano,HOL-2011-01-SDC-HOL,0
ynakaoku,HOL-2026-01-NET-HOL,3
hjinsung,HOL-2003-01-NET-HOL,10
dbreithaupt,HOL-2037-01-NET-HOL,8
gtodorov,HOL-2051-15-UEM-HOL,8
adarchenkov,HOL-2046-01-HCI-HOL,7
stakizawa,HOL-2051-01-VWS-HOL,0
boli,HOL-2026-02-NET-HOL,3
sakamotok,HOL-2003-91-NET-HOL,6
vsagbakken,HOL-2083-01-HBD-HOL,10
clamson,HOL-2021-91-ISM-HOL,7
ctrif,HOL-2021-05-CMP-HOL,6
jacobssimon,HOL-2006-03-CMP-HOL,10
jsutch,HOL-2002-02-CMP-HOL,7
ahimes,HOL-2052-01-ISM-HOL,2
ctrif,HOL-2021-01-CMP-HOL,10
jmonger,HOL-2046-01-HCI-HOL,9
acollier,HOL-2010-01-SDC-HOL,9
zolsen,HOL-2051-02-VWS-HOL,8
pbabbar,HOL-2003-91-NET-HOL,0
zolsen,HOL-2051-13-UEM-HOL,2
zolsen,HOL-2051-15-UEM-HOL,10
clorizio,HOL-2011-01-SDC-HOL,1
bakerrobert,HOL-2008-01-HCI-HOL,4
wglenn,HOL-2031-01-CNA-HOL,0
ghedreux,HOL-2083-01-HBD-HOL,6
ekobeissi,HOL-2002-01-CMP-HOL,4
ahimes,HOL-2051-15-UEM-HOL,10
bakerrobert,HOL-2008-01-HCI-HOL,6
campbellleo,HOL-2051-12-UEM-HOL,9
ddieruf,HOL-2032-01-CNA-HOL,9
bchai,HOL-2022-01-NET-HOL,1
hchakroune,HOL-2037-01-NET-HOL,7
ahimes,HOL-2051-03-VWS-HOL,6
dillardma,HOL-2051-13-UEM-HOL,5
avilaj,HOL-2083-02-HBD-HOL,0
usadalgekar,HOL-2051-11-UEM-HOL,8
stanimirt,HOL-2046-01-HCI-HOL,8
usadalgekar,HOL-2052-01-ISM-HOL,7
lkate,HOL-2021-06-ODY-HOL,1
yamaguchit,HOL-2005-01-SDC-HOL,9
lryan,HOL-2006-02-CMP-HOL,4
guptari,HOL-2013-01-SDC-HOL,10
tnishoji,HOL-2005-01-SDC-HOL,8
usho,HOL-2010-91-SDC-HOL,5
mbranzko,HOL-2046-01-HCI-HOL,1
pandre,HOL-2008-91-HCI-HOL,8
tyeoguankeng,HOL-2046-01-HCI-HOL,9
mousaa,HOL-2046-01-HCI-HOL,4
riyag,HOL-2001-91-ISM-HOL,10
siannelli,HOL-2037-01-NET-HOL,7
myamamichi,HOL-2008-01-HCI-HOL,10
yamaguchit,HOL-2001-04-CMP-HOL,6
hshimizu,HOL-2051-11-UEM-HOL,0
nguyenan,HOL-2037-01-NET-HOL,4
bechen,HOL-2010-01-SDC-HOL,10
ldonghyun,HOL-2005-01-SDC-HOL,6
mborchev,HOL-2013-01-SDC-HOL,1
pcalabrese,HOL-2001-01-CMP-HOL,4
mscordino,HOL-2002-92-CMP-HOL,7
mscordino,HOL-2002-02-CMP-HOL,4
lmeunier,HOL-2005-01-SDC-HOL,8
mkwak,HOL-2032-01-CNA-HOL,2
mohara,HOL-2086-01-EMT-HOL,10
kai,HOL-2033-01-CNA-HOL,1
tiizawa,HOL-2011-91-SDC-HOL,3
emurat,HOL-2051-09-UEM-HOL,4
frodo,HOL-2011-91-SDC,10
jdeng,HOL-2051-02-VWS-HOL,4
wentingz,HOL-2032-01-CNA-HOL,9
vijayku,HOL-2006-03-CMP-HOL,10
rgp,HOL-2087-01-HBD,5
stoh,HOL-2003-01-NET-HOL,4
guptari,HOL-2010-01-SDC-HOL,10
dkarrim,HOL-2008-01-HCI-HOL,5
graja,HOL-2021-01-CMP-HOL,1
tcory,HOL-2004-02-CHG-HOL,3
kdharmender,HOL-2026-02-NET-HOL,4
kdharmender,HOL-2026-01-NET-HOL,7
spanangatt,HOL-2051-01-VWS-HOL,10
kdharmender,HOL-2003-01-NET-HOL,3
rajith,HOL-2026-01-NET-HOL,3
rjeremy,HOL-2048-01-EMT-HOL,2
kshilpashree,HOL-2021-01-CMP-HOL,8
sbikalpa,HOL-2010-01-SDC-HOL,4
asalhabkanga,HOL-2026-01-NET-HOL,6
hyun,HOL-2011-03-SDC-HOL,2
lryan,HOL-2006-02-CMP-HOL,1
ryamaguchi,HOL-2083-02-HBD-HOL,9
jboyer,HOL-2081-01-HBD-HOL,1
tashwaq,HOL-2004-01-SDC-HOL,4
kodagiri,HOL-2010-91-SDC-HOL,3
dneo,HOL-2011-02-SDC-HOL,6
rajith,HOL-2026-91-NET-HOL,9
lryan,HOL-2021-02-CMP-HOL,9
ggoyal,HOL-2026-01-NET-HOL,9
guptari,HOL-2033-01-CNA-HOL,3
ryamaguchi,HOL-2083-02-HBD-HOL,8
fausery,HOL-2086-01-EMT-HOL,6
guptari,HOL-2010-01-SDC-HOL,9
mistok,HOL-2013-01-SDC-HOL,7
rlamaa,HOL-2001-01-CMP-HOL,3
mmiki,HOL-2022-01-NET-HOL,3
esokolov,HOL-2003-01-NET-HOL,3
nmoorthy,HOL-2001-91-ISM-HOL,0
kodamai,HOL-2040-01-NET-HOL,9
riyag,HOL-2037-01-NET-HOL,4
nlal,HOL-2010-91-SDC-HOL,2
gohj,HOL-2032-01-CNA-HOL,9
nmoorthy,HOL-2001-01-CMP-HOL,2
jdumont,HOL-2011-01-SDC-HOL,2
soka,HOL-2010-01-SDC-HOL,6
soka,HOL-2011-02-SDC-HOL,4
pandre,HOL-2008-01-HCI-HOL,9
soka,HOL-2001-05-CMP-HOL,4
mmarkovic,HOL-2037-01-NET-HOL,10
rgp,HOL-2087-01-HBD,10
yoshia,HOL-2013-01-SDC-HOL,0
mistok,HOL-2032-91-CNA-HOL,8
icampbell,HOL-2008-91-HCI-HOL,5
mshulermehaf,HOL-2051-11-UEM-HOL,9
icampbell,HOL-2008-01-HCI-HOL,9
marunichs,HOL-2037-01-NET-HOL,7
dgarciavargas,HOL-2004-01-SDC-HOL,4
rmyklebust,HOL-2051-01-VWS-HOL,7
dvasselin,HOL-2031-01-CNA-HOL,10
arocchi,HOL-2026-01-NET-HOL,3
stordo,HOL-2037-01-NET-HOL,6
bhatra,HOL-2026-01-NET-HOL,9
sshrish,HOL-2010-01-SDC-HOL,6
jamesg,HOL-2037-01-NET,7
frodo,HOL-2011-91-SDC,1
frodo,HOL-2026-01-NET,6
nareshku,HOL-2082-01-HBD-HOL,3
yfonselius,HOL-2021-01-CMP-HOL,5
aelgendi,HOL-2011-02-SDC-HOL,0
riyag,HOL-2001-91-ISM-HOL,2
spfau,HOL-2001-91-ISM-HOL,10
rhashikawa,HOL-2004-01-SDC-HOL,7
guptari,HOL-2010-01-SDC-HOL,8
vmichael,HOL-2006-03-CMP-HOL,9
lryan,HOL-2021-02-CMP-HOL,8
jdasilva,HOL-2082-01-HBD-HOL,3
swolf,HOL-2026-01-NET-HOL,9
amirzayanova,HOL-2026-01-NET-HOL,2
vviktor,HOL-2051-02-VWS-HOL,5
walkersam,HOL-2006-03-CMP-HOL,2
vmekala,HOL-2003-91-NET-HOL,8
ttakanozawa,HOL-2026-01-NET-HOL,9
pulagalik,HOL-2046-01-HCI-HOL,4
peterp,HOL-2021-91-ISM-HOL,0
kasumic,HOL-2003-91-NET-HOL,3
peterp,HOL-2004-01-SDC-HOL,3
okadat,HOL-2011-91-SDC-HOL,5
kumarsurendra,HOL-2026-01-NET-HOL,3
watsons,HOL-2081-01-HBD-HOL,8
peterp,HOL-2011-01-SDC-HOL,7
cradu,HOL-2004-01-SDC-HOL,5
vviktor,HOL-2051-13-UEM-HOL,1
hkhairy,HOL-2011-01-SDC-HOL,10
peterp,HOL-2021-01-CMP-HOL,5
ofuchs,HOL-2089-01-EMT-HOL,3
statsuo,HOL-2051-12-UEM-HOL,0
rkasahara,HOL-2003-01-NET-HOL,5
stakizawa,HOL-2051-01-VWS-HOL,6
ryamaguchi,HOL-2006-03-CMP-HOL,7
sgirschweile,HOL-2013-01-SDC-HOL,0
frodo,HOL-2087-91-HBD,3
mbranzko,HOL-2008-01-HCI-HOL,9
frodo,HOL-2087-01-HBD,5
frodo,HOL-2011-91-SDC,1
graja,HOL-2021-01-CMP-HOL,3
ahamid,HOL-2046-01-HCI-HOL,8
dmanuel,HOL-2005-01-SDC-HOL,4
prasadra,HOL-2051-04-VWS-HOL,8
soka,HOL-2012-01-SDC-HOL,7
agentile,HOL-2021-01-CMP-HOL,9
stremblay,HOL-2026-01-NET-HOL,7
hkhairy,HOL-2011-01-SDC-HOL,9
kshilpashree,HOL-2021-01-CMP-HOL,5
veerar,HOL-2051-01-VWS-HOL,7
richardn,HOL-2044-01-ISM-HOL,0
skaloferov,HOL-2051-09-UEM,0
chibay,HOL-2003-01-NET-HOL,8
callb,HOL-2032-01-CNA-HOL,5
jcowley,HOL-2026-01-NET-HOL,5
dvasselin,HOL-2033-01-CNA-HOL,10
kdelgadovalv,HOL-2008-01-HCI-HOL,4
jdeng,HOL-2051-04-VWS-HOL,6
jcowley,HOL-2026-01-NET-HOL,3
dphoenix,HOL-2026-01-NET-HOL,10
johndoyle,HOL-2051-01-VWS-HOL,9
jdeng,HOL-2051-02-VWS-HOL,4
tshetty,HOL-2051-13-UEM-HOL,10
fausery,HOL-2086-02-EMT-HOL,5
cbehm,HOL-2011-01-SDC-HOL,4
hterao,HOL-2051-11-UEM-HOL,0
mweisshaar,HOL-2021-02-CMP-HOL,3
sramakrishna,HOL-2026-01-NET-HOL,8
rjeremy,HOL-2026-01-NET-HOL,1
vsagbakken,HOL-2002-02-CMP-HOL,7
sbikalpa,HOL-2011-01-SDC-HOL,1
thomash,HOL-2001-91-ISM-HOL,2
vijayku,HOL-2008-91-HCI-HOL,3
upadhyayra,HOL-2008-91-HCI-HOL,5
dyong,HOL-2002-02-CMP-HOL,0
aelgendi,HOL-2011-02-SDC-HOL,6
tsone,HOL-2026-01-NET-HOL,7
mconcilio,HOL-2008-01-HCI-HOL,8
rkovacheva,HOL-2081-01-HBD-HOL,2
mramzan,HOL-2051-11-UEM-HOL,8
riyag,HOL-2037-01-NET-HOL,1
vijayku,HOL-2006-03-CMP-HOL,5
andyd,HOL-2046-01-HCI-HOL,5
kenmoussat,HOL-2051-13-UEM-HOL,7
wtseng,HOL-2037-01-NET-HOL,6
oadel,HOL-2012-01-SDC-HOL,6
qatestholjan310,HOL-2008-01-HCI,6
soka,HOL-2012-01-SDC-HOL,3
tomizo,HOL-2026-01-NET-HOL,2
deshmukha,HOL-2026-01-NET-HOL,3
mramzan,HOL-2051-11-UEM-HOL,9
rkovacheva,HOL-2002-92-CMP-HOL,7
kudos,HOL-2011-02-SDC-HOL,8
stanimirt,HOL-2046-01-HCI-HOL,9
chostetler,HOL-2026-01-NET-HOL,3
jemmons,HOL-2037-01-NET-HOL,7
hpazak,HOL-2004-01-SDC-HOL,2
hpazak,HOL-2051-91-VWS-HOL,4
maddend,HOL-2006-03-CMP-HOL,1
lewisc,HOL-2037-01-NET-HOL,5
ashithan,HOL-2013-01-SDC-HOL,3
mdehaan,HOL-2021-01-CMP-HOL,2
thaisekes,HOL-2051-02-VWS-HOL,5
lewisc,HOL-2037-01-NET-HOL,2
aespiritu,HOL-2051-10-UEM-HOL,7
sbrabec,HOL-2002-01-CMP-HOL,3
sebbets,HOL-2011-91-SDC-HOL,5
stoli,HOL-2003-01-NET-HOL,4
pswathi,HOL-2044-01-ISM-HOL,7
mfrey,HOL-2051-15-UEM-HOL,6
stuartd,HOL-2006-01-CMP-HOL,5
sbrabec,HOL-2082-02-HBD-HOL,8
cdiaz,HOL-2037-01-NET-HOL,3
nbryant,HOL-2001-91-ISM-HOL,0
stoli,HOL-2026-01-NET-HOL,7
tstacks,HOL-2037-01-NET-HOL,3
mzaske,HOL-2045-01-SLN-HOL,0
mbah,HOL-2032-01-CNA-HOL,6
satyavarpus,HOL-2011-01-SDC-HOL,4
dyablonski,HOL-2026-91-NET-HOL,7
nasaeast,HOL-2001-01-CMP,6
rschmitz,HOL-2051-09-UEM-HOL,6
jerryz,HOL-2006-02-CMP-HOL,4
omai,HOL-2008-01-HCI-HOL,2
dfirman,HOL-2011-01-SDC-HOL,10
ratneshk,HOL-2002-02-CMP-HOL,10
rkondo,HOL-2001-91-ISM-HOL,0
